Episode,Reward,Steps,Progress,AvgDist,MaxDist,Within5m%,AvgSpeed,R_Follow,R_Heading,R_Smooth,EndReason,TotalSteps
210,17.09,173,0.8240,115.92,118.30,0.0,0.36,0.00,18.72,-1.6279,,581176
211,55.51,734,0.8240,129.36,140.97,0.0,0.36,0.00,64.28,-8.7739,,584112
212,0.11,2,0.8240,140.97,140.97,0.0,0.04,0.00,0.15,-0.0346,,584120
213,23.45,449,0.8240,149.08,158.20,0.0,0.42,0.00,29.90,-6.4532,,585916
214,13.29,627,0.8240,169.97,180.91,0.0,0.37,0.00,22.79,-9.4938,,588424
215,6.12,515,0.8240,190.73,201.12,0.0,0.40,0.00,14.06,-7.9459,,590484
216,4.84,739,0.8240,214.67,227.26,0.0,0.36,0.00,16.01,-11.1692,truncated,593440
217,56.25,13,0.0140,2.26,3.90,100.0,19.65,20.58,6.08,-0.4161,,593492
218,1195.82,271,0.2700,2.15,4.62,100.0,19.48,436.08,122.40,-2.6614,,594576
219,3726.72,938,1.0000,2.99,9.49,82.6,17.21,1288.76,424.00,-11.0424,completed,598328
220,886.13,165,0.2120,1.66,4.51,100.0,19.11,289.37,72.85,-1.0889,,598988
221,3992.29,927,1.0000,2.45,7.10,94.9,19.03,1406.44,424.18,-8.3256,completed,602696
222,4799.55,1041,1.0000,2.25,6.61,97.0,19.11,1644.41,469.51,-9.3735,completed,606860
223,1733.58,313,0.4300,1.84,7.39,97.1,16.15,532.24,134.29,-2.9495,,608112
224,1270.53,1185,0.6300,15.42,23.35,21.9,7.51,427.97,379.54,-36.9874,,612852
225,265.71,1160,0.6300,20.52,23.75,0.0,3.62,0.00,307.00,-41.2874,,617492
226,263.90,1173,0.6300,19.70,22.76,0.0,3.88,0.01,307.34,-43.4533,,622184
227,50.53,201,0.6300,19.09,21.71,0.0,3.36,0.00,55.52,-4.9941,,622988
228,194.39,858,0.6300,17.61,20.67,0.0,3.68,0.06,221.69,-27.3614,,626420
229,345.12,1110,0.6300,14.20,19.35,7.7,4.33,106.75,282.33,-43.9650,truncated,630860
230,4188.60,1498,0.8720,5.37,17.12,58.6,11.95,1524.05,549.36,-59.8078,,636852
231,20.97,6,0.8760,2.98,4.54,100.0,14.63,8.25,2.79,-0.0727,,636876
232,1092.10,420,1.0000,4.40,12.59,65.5,8.77,429.23,173.08,-20.2050,completed,638556
233,879.21,2818,0.0140,23.99,138.79,8.0,6.38,466.72,590.70,-208.2131,,649828
234,12.67,148,0.0140,148.43,156.01,0.0,1.41,0.00,13.93,-1.2655,,650420
235,102.55,2047,0.0140,341.85,564.20,0.0,2.51,0.00,193.17,-90.6276,,658608
236,16.40,215,0.0140,571.37,578.82,0.0,0.84,0.00,20.22,-3.8145,,659468
237,25.82,352,0.0140,589.30,602.68,0.0,0.83,0.00,32.31,-6.4877,,660876
238,33.30,420,0.0140,609.87,618.20,0.0,0.45,0.00,39.92,-6.6202,truncated,662556
239,4809.22,1625,0.8120,3.33,8.75,80.5,9.23,2059.90,756.88,-32.5639,,669056
240,61.21,41,0.8140,4.73,9.16,48.8,1.41,37.17,19.51,-0.4754,,669220
241,295.87,3562,0.8160,471.92,680.95,3.9,2.09,200.66,248.92,-158.7045,,683468
242,26.25,772,0.8160,697.13,710.96,0.0,0.41,0.00,36.46,-10.2123,truncated,686556
243,127.10,375,0.0040,25.04,33.85,11.5,1.83,70.20,66.89,-14.9929,,688056
244,5.19,34,0.0040,34.30,34.60,0.0,0.44,0.00,5.43,-0.2374,,688192
245,75.59,1216,0.0040,101.87,288.99,0.0,2.33,0.00,119.23,-43.6442,,693056
